,CO_MUN_GEO,NO_MUN,NO_MUN_MIN,SG_UF
75,2107506,PACO DO LUMIAR,Paço do Lumiar,MA
76,2107605,PALMEIRANDIA,Palmeirândia,MA
77,2107704,PARAIBANO,Paraibano,MA
78,2107803,PARNARAMA,Parnarama,MA
79,2107902,PASSAGEM FRANCA,Passagem Franca,MA
80,2108009,PASTOS BONS,Pastos Bons,MA
81,2108058,PAULINO NEVES,Paulino Neves,MA
82,2108108,PAULO RAMOS,Paulo Ramos,MA
83,2108207,PEDREIRAS,Pedreiras,MA
84,2108256,PEDRO DO ROSARIO,Pedro do Rosário,MA
85,2108306,PENALVA,Penalva,MA
86,2108405,PERI MIRIM,Peri Mirim,MA
87,2108454,PERITORO,Peritoró,MA
88,2108504,PINDARE-MIRIM,Pindaré-Mirim,MA
89,2108603,PINHEIRO,Pinheiro,MA
90,2616407,VITORIA DE SANTO ANTAO,Vitória de Santo Antão,PE
91,2616506,XEXEU,Xexéu,PE
92,2700102,AGUA BRANCA,Água Branca,AL
93,2700201,ANADIA,Anadia,AL
94,2700300,ARAPIRACA,Arapiraca,AL
95,2700409,ATALAIA,Atalaia,AL
96,2700508,BARRA DE SANTO ANTONIO,Barra de Santo Antônio,AL
97,2700607,BARRA DE SAO MIGUEL,Barra de São Miguel,AL
98,2700706,BATALHA,Batalha,AL
99,2700805,BELEM,Belém,AL
100,2700904,BELO MONTE,Belo Monte,AL
101,2701001,BOCA DA MATA,Boca da Mata,AL
102,2701100,BRANQUINHA,Branquinha,AL
103,2701209,CACIMBINHAS,Cacimbinhas,AL
104,2701308,CAJUEIRO,Cajueiro,AL
105,2701357,CAMPESTRE,Campestre,AL
106,2701407,CAMPO ALEGRE,Campo Alegre,AL
107,2701506,CAMPO GRANDE,Campo Grande,AL
108,2701605,CANAPI,Canapi,AL
109,2701704,CAPELA,Capela,AL
110,2701803,CARNEIROS,Carneiros,AL
111,2701902,CHA PRETA,Chã Preta,AL
112,2702009,COITE DO NOIA,Coité do Nóia,AL
113,2702108,COLONIA LEOPOLDINA,Colônia Leopoldina,AL
114,2702207,COQUEIRO SECO,Coqueiro Seco,AL
115,2702306,CORURIPE,Coruripe,AL
116,2702355,CRAIBAS,Craíbas,AL
117,2702405,DELMIRO GOUVEIA,Delmiro Gouveia,AL
118,2702504,DOIS RIACHOS,Dois Riachos,AL
119,2702553,ESTRELA DE ALAGOAS,Estrela de Alagoas,AL
120,2702603,FEIRA GRANDE,Feira Grande,AL
121,2702702,FELIZ DESERTO,Feliz Deserto,AL
122,2702801,FLEXEIRAS,Flexeiras,AL
123,2702900,GIRAU DO PONCIANO,Girau do Ponciano,AL
124,2703007,IBATEGUARA,Ibateguara,AL
125,2703106,IGACI,Igaci,AL
126,2703205,IGREJA NOVA,Igreja Nova,AL
127,2703304,INHAPI,Inhapi,AL
128,2703403,JACARE DOS HOMENS,Jacaré dos Homens,AL
129,2703502,JACUIPE,Jacuípe,AL
130,2703601,JAPARATINGA,Japaratinga,AL
131,2703700,JARAMATAIA,Jaramataia,AL
132,2703759,JEQUIA DA PRAIA,Jequiá da Praia,AL
133,2703809,JOAQUIM GOMES,Joaquim Gomes,AL
134,2703908,JUNDIA,Jundiá,AL
135,2704005,JUNQUEIRO,Junqueiro,AL
136,2704104,LAGOA DA CANOA,Lagoa da Canoa,AL
137,2704203,LIMOEIRO DE ANADIA,Limoeiro de Anadia,AL
138,2704302,MACEIO,Maceió,AL
139,2704401,MAJOR ISIDORO,Major Isidoro,AL
140,2704500,MARAGOGI,Maragogi,AL
141,2704609,MARAVILHA,Maravilha,AL
142,2704708,MARECHAL DEODORO,Marechal Deodoro,AL
143,2704807,MARIBONDO,Maribondo,AL
144,2704906,MAR VERMELHO,Mar Vermelho,AL
145,2705002,MATA GRANDE,Mata Grande,AL
146,2705101,MATRIZ DE CAMARAGIBE,Matriz de Camaragibe,AL
147,2705200,MESSIAS,Messias,AL
148,2705309,MINADOR DO NEGRAO,Minador do Negrão,AL
149,2705408,MONTEIROPOLIS,Monteirópolis,AL
150,2705507,MURICI,Murici,AL
151,2705606,NOVO LINO,Novo Lino,AL
152,2705705,OLHO D'AGUA DAS FLORES,Olho d'Água das Flores,AL
153,2705804,OLHO D'AGUA DO CASADO,Olho d'Água do Casado,AL
154,2705903,OLHO D'AGUA GRANDE,Olho d'Água Grande,AL
155,2706000,OLIVENCA,Olivença,AL
156,2706109,OURO BRANCO,Ouro Branco,AL
157,2706208,PALESTINA,Palestina,AL
158,2706307,PALMEIRA DOS INDIOS,Palmeira dos Índios,AL
159,2706406,PAO DE ACUCAR,Pão de Açúcar,AL
160,2706422,PARICONHA,Pariconha,AL
161,2706448,PARIPUEIRA,Paripueira,AL
162,2706505,PASSO DE CAMARAGIBE,Passo de Camaragibe,AL
163,2706604,PAULO JACINTO,Paulo Jacinto,AL
164,2706703,PENEDO,Penedo,AL
165,2706802,PIACABUCU,Piaçabuçu,AL
166,2706901,PILAR,Pilar,AL
167,2707008,PINDOBA,Pindoba,AL
168,2208007,PICOS,Picos,PI
169,2208106,PIMENTEIRAS,Pimenteiras,PI
170,2208205,PIO IX,Pio IX,PI
171,2208304,PIRACURUCA,Piracuruca,PI
172,2208403,PIRIPIRI,Piripiri,PI
173,2208502,PORTO,Porto,PI
174,2208551,PORTO ALEGRE DO PIAUI,Porto Alegre do Piauí,PI
175,2208601,PRATA DO PIAUI,Prata do Piauí,PI
176,2208650,QUEIMADA NOVA,Queimada Nova,PI
177,2208700,REDENCAO DO GURGUEIA,Redenção do Gurguéia,PI
178,2208809,REGENERACAO,Regeneração,PI
179,2208858,RIACHO FRIO,Riacho Frio,PI
180,2208874,RIBEIRA DO PIAUI,Ribeira do Piauí,PI
181,2208908,RIBEIRO GONCALVES,Ribeiro Gonçalves,PI
182,2209005,RIO GRANDE DO PIAUI,Rio Grande do Piauí,PI
183,2209104,SANTA CRUZ DO PIAUI,Santa Cruz do Piauí,PI
184,2209153,SANTA CRUZ DOS MILAGRES,Santa Cruz dos Milagres,PI
185,2209203,SANTA FILOMENA,Santa Filomena,PI
186,2209302,SANTA LUZ,Santa Luz,PI
187,2209351,SANTANA DO PIAUI,Santana do Piauí,PI
188,2209377,SANTA ROSA DO PIAUI,Santa Rosa do Piauí,PI
189,2209401,SANTO ANTONIO DE LISBOA,Santo Antônio de Lisboa,PI
190,2209450,SANTO ANTONIO DOS MILAGRES,Santo Antônio dos Milagres,PI
191,2209500,SANTO INACIO DO PIAUI,Santo Inácio do Piauí,PI
192,2209559,SAO BRAZ DO PIAUI,São Braz do Piauí,PI
193,2209609,SAO FELIX DO PIAUI,São Félix do Piauí,PI
194,2209658,SAO FRANCISCO DE ASSIS PIAUI,São Francisco de Assis Piauí,PI
195,2209708,SAO FRANCISCO DO PIAUI,São Francisco do Piauí,PI
196,2209757,SAO GONCALO DO GURGUEIA,São Gonçalo do Gurguéia,PI
197,2209807,SAO GONCALO DO PIAUI,São Gonçalo do Piauí,PI
198,2209856,SAO JOAO DA CANABRAVA,São João da Canabrava,PI
199,2209872,SAO JOAO DA FRONTEIRA,São João da Fronteira,PI
200,2209906,SAO JOAO DA SERRA,São João da Serra,PI
201,2209955,SAO JOAO DA VARJOTA,São João da Varjota,PI
202,2209971,SAO JOAO DO ARRAIAL,São João do Arraial,PI
203,2210003,SAO JOAO DO PIAUI,São João do Piauí,PI
204,2210052,SAO JOSE DO DIVINO,São José do Divino,PI
205,2210102,SAO JOSE DO PEIXE,São José do Peixe,PI
206,2210201,SAO JOSE DO PIAUI,São José do Piauí,PI
207,2210300,SAO JULIAO,São Julião,PI
208,2210359,SAO LOURENCO DO PIAUI,São Lourenço do Piauí,PI
209,2210375,SAO LUIS DO PIAUI,São Luis do Piauí,PI
210,2210383,SAO MIGUEL DA BAIXA GRANDE,São Miguel da Baixa Grande,PI
211,2210391,SAO MIGUEL DO FIDALGO,São Miguel do Fidalgo,PI
212,2210409,SAO MIGUEL DO TAPUIO,São Miguel do Tapuio,PI
213,2210508,SAO PEDRO DO PIAUI,São Pedro do Piauí,PI
214,2210607,SAO RAIMUNDO NONATO,São Raimundo Nonato,PI
215,2210623,SEBASTIAO BARROS,Sebastião Barros,PI
216,2210631,SEBASTIAO LEAL,Sebastião Leal,PI
217,2210656,SIGEFREDO PACHECO,Sigefredo Pacheco,PI
218,2210706,SIMOES,Simões,PI
219,2210805,SIMPLICIO MENDES,Simplício Mendes,PI
220,2210904,SOCORRO DO PIAUI,Socorro do Piauí,PI
