,CO_MUN_GEO,NO_MUN,NO_MUN_MIN,SG_UF
1245,2202133,CAMPO GRANDE DO PIAUI,Campo Grande do Piauí,PI
1246,2202174,CAMPO LARGO DO PIAUI,Campo Largo do Piauí,PI
1247,2202208,CAMPO MAIOR,Campo Maior,PI
1248,2202251,CANAVIEIRA,Canavieira,PI
1249,2202307,CANTO DO BURITI,Canto do Buriti,PI
1250,2202406,CAPITAO DE CAMPOS,Capitão de Campos,PI
1251,2202455,CAPITAO GERVASIO OLIVEIRA,Capitão Gervásio Oliveira,PI
1252,2202505,CARACOL,Caracol,PI
1253,2202539,CARAUBAS DO PIAUI,Caraúbas do Piauí,PI
1254,2202554,CARIDADE DO PIAUI,Caridade do Piauí,PI
1255,2202604,CASTELO DO PIAUI,Castelo do Piauí,PI
1256,2202653,CAXINGO,Caxingó,PI
1257,2202703,COCAL,Cocal,PI
1258,2202711,COCAL DE TELHA,Cocal de Telha,PI
1259,2202729,COCAL DOS ALVES,Cocal dos Alves,PI
1260,2202737,COIVARAS,Coivaras,PI
1261,2202752,COLONIA DO GURGUEIA,Colônia do Gurguéia,PI
1262,2202778,COLONIA DO PIAUI,Colônia do Piauí,PI
1263,2202802,CONCEICAO DO CANINDE,Conceição do Canindé,PI
1264,2202851,CORONEL JOSE DIAS,Coronel José Dias,PI
1265,2202901,CORRENTE,Corrente,PI
1266,2203008,CRISTALANDIA DO PIAUI,Cristalândia do Piauí,PI
1267,2203107,CRISTINO CASTRO,Cristino Castro,PI
1268,2203206,CURIMATA,Curimatá,PI
1269,2203230,CURRAIS,Currais,PI
1270,2203255,CURRALINHOS,Curralinhos,PI
1271,2203271,CURRAL NOVO DO PIAUI,Curral Novo do Piauí,PI
1272,2203305,DEMERVAL LOBAO,Demerval Lobão,PI
1273,2203354,DIRCEU ARCOVERDE,Dirceu Arcoverde,PI
1274,2203404,DOM EXPEDITO LOPES,Dom Expedito Lopes,PI
1275,2203420,DOMINGOS MOURAO,Domingos Mourão,PI
1276,2203453,DOM INOCENCIO,Dom Inocêncio,PI
1277,2203503,ELESBAO VELOSO,Elesbão Veloso,PI
1278,2203602,ELISEU MARTINS,Eliseu Martins,PI
1279,2203701,ESPERANTINA,Esperantina,PI
1280,2203750,FARTURA DO PIAUI,Fartura do Piauí,PI
1281,2203800,FLORES DO PIAUI,Flores do Piauí,PI
1282,2203859,FLORESTA DO PIAUI,Floresta do Piauí,PI
1283,2203909,FLORIANO,Floriano,PI
1284,2204006,FRANCINOPOLIS,Francinópolis,PI
1285,2204105,FRANCISCO AYRES,Francisco Ayres,PI
1286,2204154,FRANCISCO MACEDO,Francisco Macedo,PI
1287,2204204,FRANCISCO SANTOS,Francisco Santos,PI
1288,2204303,FRONTEIRAS,Fronteiras,PI
1289,2204352,GEMINIANO,Geminiano,PI
1290,2204402,GILBUES,Gilbués,PI
1291,2204501,GUADALUPE,Guadalupe,PI
1292,2204550,GUARIBAS,Guaribas,PI
1293,2204600,HUGO NAPOLEAO,Hugo Napoleão,PI
1294,2204659,ILHA GRANDE,Ilha Grande,PI
1295,2204709,INHUMA,Inhuma,PI
1296,2204808,IPIRANGA DO PIAUI,Ipiranga do Piauí,PI
1297,2204907,ISAIAS COELHO,Isaías Coelho,PI
1298,2205003,ITAINOPOLIS,Itainópolis,PI
1299,2205102,ITAUEIRA,Itaueira,PI
1300,2205151,JACOBINA DO PIAUI,Jacobina do Piauí,PI
1301,2205201,JAICOS,Jaicós,PI
1302,2205250,JARDIM DO MULATO,Jardim do Mulato,PI
1303,2205276,JATOBA DO PIAUI,Jatobá do Piauí,PI
1304,2205300,JERUMENHA,Jerumenha,PI
1305,2205359,JOAO COSTA,João Costa,PI
1306,2205409,JOAQUIM PIRES,Joaquim Pires,PI
1307,2205458,JOCA MARQUES,Joca Marques,PI
1308,2205508,JOSE DE FREITAS,José de Freitas,PI
1309,2205516,JUAZEIRO DO PIAUI,Juazeiro do Piauí,PI
1310,2205524,JULIO BORGES,Júlio Borges,PI
1311,2205532,JUREMA,Jurema,PI
1312,2205540,LAGOINHA DO PIAUI,Lagoinha do Piauí,PI
1313,2205557,LAGOA ALEGRE,Lagoa Alegre,PI
1314,2205565,LAGOA DO BARRO DO PIAUI,Lagoa do Barro do Piauí,PI
1315,2205573,LAGOA DE SAO FRANCISCO,Lagoa de São Francisco,PI
1316,2205581,LAGOA DO PIAUI,Lagoa do Piauí,PI
1317,2205599,LAGOA DO SITIO,Lagoa do Sítio,PI
1318,2205607,LANDRI SALES,Landri Sales,PI
1319,2205706,LUIS CORREIA,Luís Correia,PI
1320,2205805,LUZILANDIA,Luzilândia,PI
1321,2205854,MADEIRO,Madeiro,PI
1322,2205904,MANOEL EMIDIO,Manoel Emídio,PI
1323,2205953,MARCOLANDIA,Marcolândia,PI
1324,2206001,MARCOS PARENTE,Marcos Parente,PI
1325,2206050,MASSAPE DO PIAUI,Massapê do Piauí,PI
1326,2206100,MATIAS OLIMPIO,Matias Olímpio,PI
1327,2206209,MIGUEL ALVES,Miguel Alves,PI
1328,2206308,MIGUEL LEAO,Miguel Leão,PI
1329,2206357,MILTON BRANDAO,Milton Brandão,PI
1330,2206407,MONSENHOR GIL,Monsenhor Gil,PI
1331,2206506,MONSENHOR HIPOLITO,Monsenhor Hipólito,PI
1332,2206605,MONTE ALEGRE DO PIAUI,Monte Alegre do Piauí,PI
1333,2206654,MORRO CABECA NO TEMPO,Morro Cabeça no Tempo,PI
1334,2206670,MORRO DO CHAPEU DO PIAUI,Morro do Chapéu do Piauí,PI
1335,2206696,MURICI DOS PORTELAS,Murici dos Portelas,PI
1336,2206704,NAZARE DO PIAUI,Nazaré do Piauí,PI
1337,2206720,NAZARIA,Nazária,PI
1338,2206753,NOSSA SENHORA DE NAZARE,Nossa Senhora de Nazaré,PI
1339,2206803,NOSSA SENHORA DOS REMEDIOS,Nossa Senhora dos Remédios,PI
1340,2206902,NOVO ORIENTE DO PIAUI,Novo Oriente do Piauí,PI
1341,2206951,NOVO SANTO ANTONIO,Novo Santo Antônio,PI
1342,2207009,OEIRAS,Oeiras,PI
1343,2207108,OLHO D'AGUA DO PIAUI,Olho D'Água do Piauí,PI
1344,2207207,PADRE MARCOS,Padre Marcos,PI
1345,2207306,PAES LANDIM,Paes Landim,PI
1346,2207355,PAJEU DO PIAUI,Pajeú do Piauí,PI
1347,2207405,PALMEIRA DO PIAUI,Palmeira do Piauí,PI
1348,2207504,PALMEIRAIS,Palmeirais,PI
1349,2207553,PAQUETA,Paquetá,PI
1350,2207603,PARNAGUA,Parnaguá,PI
1351,2207702,PARNAIBA,Parnaíba,PI
1352,2207751,PASSAGEM FRANCA DO PIAUI,Passagem Franca do Piauí,PI
1353,2207777,PATOS DO PIAUI,Patos do Piauí,PI
1354,2207793,PAU D'ARCO DO PIAUI,Pau D'Arco do Piauí,PI
1355,2207801,PAULISTANA,Paulistana,PI
1356,2207850,PAVUSSU,Pavussu,PI
1357,2207900,PEDRO II,Pedro II,PI
1358,2207934,PEDRO LAURENTINO,Pedro Laurentino,PI
1359,2207959,NOVA SANTA RITA,Nova Santa Rita,PI
1360,2922300,MURITIBA,Muritiba,BA
1361,2922409,MUTUIPE,Mutuípe,BA
1362,2922508,NAZARE,Nazaré,BA
1363,2922607,NILO PECANHA,Nilo Peçanha,BA
1364,2922656,NORDESTINA,Nordestina,BA
1365,2922706,NOVA CANAA,Nova Canaã,BA
1366,2922730,NOVA FATIMA,Nova Fátima,BA
1367,2922755,NOVA IBIA,Nova Ibiá,BA
1368,2922805,NOVA ITARANA,Nova Itarana,BA
1369,2922854,NOVA REDENCAO,Nova Redenção,BA
1370,2922904,NOVA SOURE,Nova Soure,BA
1371,2923001,NOVA VICOSA,Nova Viçosa,BA
1372,2923035,NOVO HORIZONTE,Novo Horizonte,BA
1373,2923050,NOVO TRIUNFO,Novo Triunfo,BA
1374,2923100,OLINDINA,Olindina,BA
1375,2923209,OLIVEIRA DOS BREJINHOS,Oliveira dos Brejinhos,BA
1376,2923308,OURICANGAS,Ouriçangas,BA
1377,2923357,OUROLANDIA,Ourolândia,BA
1378,2923407,PALMAS DE MONTE ALTO,Palmas de Monte Alto,BA
1379,2923506,PALMEIRAS,Palmeiras,BA
1380,2923605,PARAMIRIM,Paramirim,BA
1381,2923704,PARATINGA,Paratinga,BA
1382,2923803,PARIPIRANGA,Paripiranga,BA
1383,2923902,PAU BRASIL,Pau Brasil,BA
1384,2924009,PAULO AFONSO,Paulo Afonso,BA
1385,2924058,PE DE SERRA,Pé de Serra,BA
1386,2924108,PEDRAO,Pedrão,BA
1387,2924207,PEDRO ALEXANDRE,Pedro Alexandre,BA
1388,2924306,PIATA,Piatã,BA
1389,2924405,PILAO ARCADO,Pilão Arcado,BA
1390,2924504,PINDAI,Pindaí,BA
1391,2924603,PINDOBACU,Pindobaçu,BA
1392,2924652,PINTADAS,Pintadas,BA
1393,2924678,PIRAI DO NORTE,Piraí do Norte,BA
1394,2924702,PIRIPA,Piripá,BA
1395,2924801,PIRITIBA,Piritiba,BA
1396,2924900,PLANALTINO,Planaltino,BA
1397,2925006,PLANALTO,Planalto,BA
1398,2925105,POCOES,Poções,BA
1399,2925204,POJUCA,Pojuca,BA
1400,2925253,PONTO NOVO,Ponto Novo,BA
1401,2925303,PORTO SEGURO,Porto Seguro,BA
1402,2925402,POTIRAGUA,Potiraguá,BA
1403,2925501,PRADO,Prado,BA
1404,2925600,PRESIDENTE DUTRA,Presidente Dutra,BA
1405,2925709,PRESIDENTE JANIO QUADROS,Presidente Jânio Quadros,BA
1406,2925758,PRESIDENTE TANCREDO NEVES,Presidente Tancredo Neves,BA
1407,2925808,QUEIMADAS,Queimadas,BA
1408,2925907,QUIJINGUE,Quijingue,BA
1409,2925931,QUIXABEIRA,Quixabeira,BA
1410,2925956,RAFAEL JAMBEIRO,Rafael Jambeiro,BA
1411,2926004,REMANSO,Remanso,BA
1412,2926103,RETIROLANDIA,Retirolândia,BA
1413,2926202,RIACHAO DAS NEVES,Riachão das Neves,BA
1414,2926301,RIACHAO DO JACUIPE,Riachão do Jacuípe,BA
1415,2926400,RIACHO DE SANTANA,Riacho de Santana,BA
1416,2926509,RIBEIRA DO AMPARO,Ribeira do Amparo,BA
1417,2926608,RIBEIRA DO POMBAL,Ribeira do Pombal,BA
1418,2926657,RIBEIRAO DO LARGO,Ribeirão do Largo,BA
1419,2926707,RIO DE CONTAS,Rio de Contas,BA
1420,2926806,RIO DO ANTONIO,Rio do Antônio,BA
1421,2926905,RIO DO PIRES,Rio do Pires,BA
1422,2927002,RIO REAL,Rio Real,BA
1423,2927101,RODELAS,Rodelas,BA
1424,2927200,RUY BARBOSA,Ruy Barbosa,BA
1425,2927309,SALINAS DA MARGARIDA,Salinas da Margarida,BA
1426,2927408,SALVADOR,Salvador,BA
1427,2927507,SANTA BARBARA,Santa Bárbara,BA
1428,2927606,SANTA BRIGIDA,Santa Brígida,BA
1429,2927705,SANTA CRUZ CABRALIA,Santa Cruz Cabrália,BA
1430,2927804,SANTA CRUZ DA VITORIA,Santa Cruz da Vitória,BA
1431,2927903,SANTA INES,Santa Inês,BA
1432,2928000,SANTALUZ,Santaluz,BA
1433,2928059,SANTA LUZIA,Santa Luzia,BA
1434,2928109,SANTA MARIA DA VITORIA,Santa Maria da Vitória,BA
1435,2928208,SANTANA,Santana,BA
1436,2928307,SANTANOPOLIS,Santanópolis,BA
1437,2928406,SANTA RITA DE CASSIA,Santa Rita de Cássia,BA
1438,2928505,SANTA TERESINHA,Santa Teresinha,BA
1439,2928604,SANTO AMARO,Santo Amaro,BA
1440,2928703,SANTO ANTONIO DE JESUS,Santo Antônio de Jesus,BA
1441,2928802,SANTO ESTEVAO,Santo Estêvão,BA
1442,2928901,SAO DESIDERIO,São Desidério,BA
1443,2928950,SAO DOMINGOS,São Domingos,BA
1444,2929008,SAO FELIX,São Félix,BA
1445,2929057,SAO FELIX DO CORIBE,São Félix do Coribe,BA
1446,2929107,SAO FELIPE,São Felipe,BA
1447,2929206,SAO FRANCISCO DO CONDE,São Francisco do Conde,BA
1448,2929255,SAO GABRIEL,São Gabriel,BA
1449,2929305,SAO GONCALO DOS CAMPOS,São Gonçalo dos Campos,BA
1450,2929354,SAO JOSE DA VITORIA,São José da Vitória,BA
1451,2929370,SAO JOSE DO JACUIPE,São José do Jacuípe,BA
1452,2929404,SAO MIGUEL DAS MATAS,São Miguel das Matas,BA
1453,2929503,SAO SEBASTIAO DO PASSE,São Sebastião do Passé,BA
1454,2929602,SAPEACU,Sapeaçu,BA
1455,2929701,SATIRO DIAS,Sátiro Dias,BA
1456,2929750,SAUBARA,Saubara,BA
1457,2929800,SAUDE,Saúde,BA
1458,2929909,SEABRA,Seabra,BA
1459,2930006,SEBASTIAO LARANJEIRAS,Sebastião Laranjeiras,BA
1460,2930105,SENHOR DO BONFIM,Senhor do Bonfim,BA
1461,2930154,SERRA DO RAMALHO,Serra do Ramalho,BA
1462,2930204,SENTO SE,Sento Sé,BA
1463,2930303,SERRA DOURADA,Serra Dourada,BA
1464,2930402,SERRA PRETA,Serra Preta,BA
1465,2930501,SERRINHA,Serrinha,BA
1466,2930600,SERROLANDIA,Serrolândia,BA
1467,2930709,SIMOES FILHO,Simões Filho,BA
1468,2930758,SITIO DO MATO,Sítio do Mato,BA
1469,2930766,SITIO DO QUINTO,Sítio do Quinto,BA
1470,2930774,SOBRADINHO,Sobradinho,BA
1471,2930808,SOUTO SOARES,Souto Soares,BA
1472,2930907,TABOCAS DO BREJO VELHO,Tabocas do Brejo Velho,BA
1473,2931004,TANHACU,Tanhaçu,BA
1474,2931053,TANQUE NOVO,Tanque Novo,BA
1475,2931103,TANQUINHO,Tanquinho,BA
1476,2931202,TAPEROA,Taperoá,BA
1477,2931301,TAPIRAMUTA,Tapiramutá,BA
1478,2931350,TEIXEIRA DE FREITAS,Teixeira de Freitas,BA
1479,2931400,TEODORO SAMPAIO,Teodoro Sampaio,BA
1480,2931509,TEOFILANDIA,Teofilândia,BA
1481,2931608,TEOLANDIA,Teolândia,BA
1482,2931707,TERRA NOVA,Terra Nova,BA
1483,2931806,TREMEDAL,Tremedal,BA
1484,2931905,TUCANO,Tucano,BA
1485,2932002,UAUA,Uauá,BA
1486,2932101,UBAIRA,Ubaíra,BA
1487,2932200,UBAITABA,Ubaitaba,BA
1488,2932309,UBATA,Ubatã,BA
1489,2932408,UIBAI,Uibaí,BA
1490,2932457,UMBURANAS,Umburanas,BA
1491,2932507,UNA,Una,BA
1492,2932606,URANDI,Urandi,BA
1493,2932705,URUCUCA,Uruçuca,BA
1494,2932804,UTINGA,Utinga,BA
1495,2932903,VALENCA,Valença,BA
1496,2933000,VALENTE,Valente,BA
1497,2933059,VARZEA DA ROCA,Várzea da Roça,BA
1498,2933109,VARZEA DO POCO,Várzea do Poço,BA
1499,2933158,VARZEA NOVA,Várzea Nova,BA
1500,2933174,VARZEDO,Varzedo,BA
1501,2933208,VERA CRUZ,Vera Cruz,BA
1502,2933257,VEREDA,Vereda,BA
1503,2933307,VITORIA DA CONQUISTA,Vitória da Conquista,BA
1504,2933406,WAGNER,Wagner,BA
1505,2933455,WANDERLEY,Wanderley,BA
1506,2933505,WENCESLAU GUIMARAES,Wenceslau Guimarães,BA
1507,2933604,XIQUE-XIQUE,Xique-Xique,BA
1508,3100104,ABADIA DOS DOURADOS,Abadia dos Dourados,MG
1509,3100203,ABAETE,Abaeté,MG
1510,3100302,ABRE CAMPO,Abre Campo,MG
1511,3100401,ACAIACA,Acaiaca,MG
1512,3100500,ACUCENA,Açucena,MG
1513,3100609,AGUA BOA,Água Boa,MG
1514,3100708,AGUA COMPRIDA,Água Comprida,MG
1515,3100807,AGUANIL,Aguanil,MG
1516,3100906,AGUAS FORMOSAS,Águas Formosas,MG
1517,3101003,AGUAS VERMELHAS,Águas Vermelhas,MG
1518,3101102,AIMORES,Aimorés,MG
1519,3101201,AIURUOCA,Aiuruoca,MG
1520,3101300,ALAGOA,Alagoa,MG
1521,3101409,ALBERTINA,Albertina,MG
1522,3101508,ALEM PARAIBA,Além Paraíba,MG
1523,3101607,ALFENAS,Alfenas,MG
1524,3101631,ALFREDO VASCONCELOS,Alfredo Vasconcelos,MG
1525,3101706,ALMENARA,Almenara,MG
1526,3101805,ALPERCATA,Alpercata,MG
1527,3101904,ALPINOPOLIS,Alpinópolis,MG
1528,3102001,ALTEROSA,Alterosa,MG
1529,3102050,ALTO CAPARAO,Alto Caparaó,MG
1530,3102100,ALTO RIO DOCE,Alto Rio Doce,MG
1531,3102209,ALVARENGA,Alvarenga,MG
1532,3102308,ALVINOPOLIS,Alvinópolis,MG
1533,3102407,ALVORADA DE MINAS,Alvorada de Minas,MG
1534,3102506,AMPARO DO SERRA,Amparo do Serra,MG
1535,3102605,ANDRADAS,Andradas,MG
1536,4204756,CUNHATAI,Cunhataí,SC
1537,4204806,CURITIBANOS,Curitibanos,SC
1538,4204905,DESCANSO,Descanso,SC
1539,4205001,DIONISIO CERQUEIRA,Dionísio Cerqueira,SC
1540,4205100,DONA EMMA,Dona Emma,SC
1541,4205159,DOUTOR PEDRINHO,Doutor Pedrinho,SC
1542,4205175,ENTRE RIOS,Entre Rios,SC
1543,4205191,ERMO,Ermo,SC
1544,4205209,ERVAL VELHO,Erval Velho,SC
1545,4205308,FAXINAL DOS GUEDES,Faxinal dos Guedes,SC
1546,4205357,FLOR DO SERTAO,Flor do Sertão,SC
1547,4205407,FLORIANOPOLIS,Florianópolis,SC
1548,4205431,FORMOSA DO SUL,Formosa do Sul,SC
1549,3446900,SANTA LUCIA,Santa Lúcia,SP
1550,3447007,SANTA MARIA DA SERRA,Santa Maria da Serra,SP
1551,3447106,SANTA MERCEDES,Santa Mercedes,SP
1552,3447205,SANTANA DA PONTE PENSA,Santana da Ponte Pensa,SP
1553,3447304,SANTANA DE PARNAIBA,Santana de Parnaíba,SP
1554,3447403,SANTA RITA D'OESTE,Santa Rita d'Oeste,SP
1555,3447502,SANTA RITA DO PASSA QUATRO,Santa Rita do Passa Quatro,SP
1556,3447601,SANTA ROSA DE VITERBO,Santa Rosa de Viterbo,SP
1557,3447650,SANTA SALETE,Santa Salete,SP
1558,3447700,SANTO ANASTACIO,Santo Anastácio,SP
1559,3447809,SANTO ANDRE,Santo André,SP
1560,3447908,SANTO ANTONIO DA ALEGRIA,Santo Antônio da Alegria,SP
1561,3448005,SANTO ANTONIO DE POSSE,Santo Antônio de Posse,SP
1562,3448054,SANTO ANTONIO DO ARACANGUA,Santo Antônio do Aracanguá,SP
1563,3448104,SANTO ANTONIO DO JARDIM,Santo Antônio do Jardim,SP
1564,3448203,SANTO ANTONIO DO PINHAL,Santo Antônio do Pinhal,SP
1565,3448302,SANTO EXPEDITO,Santo Expedito,SP
1566,3448401,SANTOPOLIS DO AGUAPEI,Santópolis do Aguapeí,SP
1567,3448500,SANTOS,Santos,SP
1568,3448609,SAO BENTO DO SAPUCAI,São Bento do Sapucaí,SP
1569,3448708,SAO BERNARDO DO CAMPO,São Bernardo do Campo,SP
1570,3448807,SAO CAETANO DO SUL,São Caetano do Sul,SP
1571,3448906,SAO CARLOS,São Carlos,SP
1572,3449003,SAO FRANCISCO,São Francisco,SP
1573,3449102,SAO JOAO DA BOA VISTA,São João da Boa Vista,SP
1574,3449201,SAO JOAO DAS DUAS PONTES,São João das Duas Pontes,SP
1575,3449250,SAO JOAO DE IRACEMA,São João de Iracema,SP
1576,1501758,BREJO GRANDE DO ARAGUAIA,Brejo Grande do Araguaia,PA
1577,1501782,BREU BRANCO,Breu Branco,PA
1578,1501808,BREVES,Breves,PA
1579,1501907,BUJARU,Bujaru,PA
1580,1501956,CACHOEIRA DO PIRIA,Cachoeira do Piriá,PA
1581,1502004,CACHOEIRA DO ARARI,Cachoeira do Arari,PA
1582,1502103,CAMETA,Cametá,PA
1583,1502152,CANAA DOS CARAJAS,Canaã dos Carajás,PA
1584,1502202,CAPANEMA,Capanema,PA
1585,1502301,CAPITAO POCO,Capitão Poço,PA
1586,1502400,CASTANHAL,Castanhal,PA
1587,1502509,CHAVES,Chaves,PA
1588,1502608,COLARES,Colares,PA
1589,1502707,CONCEICAO DO ARAGUAIA,Conceição do Araguaia,PA
1590,1502756,CONCORDIA DO PARA,Concórdia do Pará,PA
1591,1502764,CUMARU DO NORTE,Cumaru do Norte,PA
1592,1502772,CURIONOPOLIS,Curionópolis,PA
1593,1502806,CURRALINHO,Curralinho,PA
1594,1502855,CURUA,Curuá,PA
1595,1502905,CURUCA,Curuçá,PA
1596,1502939,DOM ELISEU,Dom Eliseu,PA
1597,1502954,ELDORADO DOS CARAJAS,Eldorado dos Carajás,PA
1598,1503002,FARO,Faro,PA
1599,1503044,FLORESTA DO ARAGUAIA,Floresta do Araguaia,PA
1600,1503077,GARRAFAO DO NORTE,Garrafão do Norte,PA
1601,1503093,GOIANESIA DO PARA,Goianésia do Pará,PA
1602,1503101,GURUPA,Gurupá,PA
1603,1503200,IGARAPE-ACU,Igarapé-Açu,PA
1604,1503309,IGARAPE-MIRI,Igarapé-Miri,PA
1605,1503408,INHANGAPI,Inhangapi,PA
1606,1503457,IPIXUNA DO PARA,Ipixuna do Pará,PA
1607,1503507,IRITUIA,Irituia,PA
1608,1503606,ITAITUBA,Itaituba,PA
1609,1503705,ITUPIRANGA,Itupiranga,PA
1610,1503754,JACAREACANGA,Jacareacanga,PA
1611,1503804,JACUNDA,Jacundá,PA
1612,1503903,JURUTI,Juruti,PA
1613,1504000,LIMOEIRO DO AJURU,Limoeiro do Ajuru,PA
1614,1504059,MAE DO RIO,Mãe do Rio,PA
1615,1504109,MAGALHAES BARATA,Magalhães Barata,PA
1616,1504208,MARABA,Marabá,PA
1617,1504307,MARACANA,Maracanã,PA
1618,1504406,MARAPANIM,Marapanim,PA
1619,1504422,MARITUBA,Marituba,PA
1620,1504455,MEDICILANDIA,Medicilândia,PA
1621,1504505,MELGACO,Melgaço,PA
1622,1504604,MOCAJUBA,Mocajuba,PA
1623,1504703,MOJU,Moju,PA
1624,1504802,MONTE ALEGRE,Monte Alegre,PA
1625,1504901,MUANA,Muaná,PA
1626,1504950,NOVA ESPERANCA DO PIRIA,Nova Esperança do Piriá,PA
1627,1504976,NOVA IPIXUNA,Nova Ipixuna,PA
1628,1505007,NOVA TIMBOTEUA,Nova Timboteua,PA
1629,1505031,NOVO PROGRESSO,Novo Progresso,PA
1630,1505064,NOVO REPARTIMENTO,Novo Repartimento,PA
1631,1505106,OBIDOS,Óbidos,PA
1632,1505205,OEIRAS DO PARA,Oeiras do Pará,PA
1633,1505304,ORIXIMINA,Oriximiná,PA
1634,1505403,OUREM,Ourém,PA
1635,1505437,OURILANDIA DO NORTE,Ourilândia do Norte,PA
1636,1505486,PACAJA,Pacajá,PA
1637,1505494,PALESTINA DO PARA,Palestina do Pará,PA
1638,1505502,PARAGOMINAS,Paragominas,PA
1639,1505536,PARAUAPEBAS,Parauapebas,PA
1640,1505551,PAU D'ARCO,Pau D'Arco,PA
1641,1505601,PEIXE-BOI,Peixe-Boi,PA
1642,1505635,PICARRA,Piçarra,PA
1643,1505650,PLACAS,Placas,PA
1644,1505700,PONTA DE PEDRAS,Ponta de Pedras,PA
1645,1505809,PORTEL,Portel,PA
1646,1505908,PORTO DE MOZ,Porto de Moz,PA
1647,1506005,PRAINHA,Prainha,PA
1648,1506104,PRIMAVERA,Primavera,PA
1649,1506112,QUATIPURU,Quatipuru,PA
1650,1506138,REDENCAO,Redenção,PA
1651,1506161,RIO MARIA,Rio Maria,PA
1652,1506187,RONDON DO PARA,Rondon do Pará,PA
1653,1506195,RUROPOLIS,Rurópolis,PA
1654,1506203,SALINOPOLIS,Salinópolis,PA
1655,1506302,SALVATERRA,Salvaterra,PA
1656,1506351,SANTA BARBARA DO PARA,Santa Bárbara do Pará,PA
1657,1506401,SANTA CRUZ DO ARARI,Santa Cruz do Arari,PA
1658,1506500,SANTA ISABEL DO PARA,Santa Isabel do Pará,PA
1659,1506559,SANTA LUZIA DO PARA,Santa Luzia do Pará,PA
1660,1506583,SANTA MARIA DAS BARREIRAS,Santa Maria das Barreiras,PA
1661,1506609,SANTA MARIA DO PARA,Santa Maria do Pará,PA
1662,1506708,SANTANA DO ARAGUAIA,Santana do Araguaia,PA
1663,2108702,PIO XII,Pio XII,MA
1664,2108801,PIRAPEMAS,Pirapemas,MA
1665,2108900,POCAO DE PEDRAS,Poção de Pedras,MA
1666,2109007,PORTO FRANCO,Porto Franco,MA
1667,2109056,PORTO RICO DO MARANHAO,Porto Rico do Maranhão,MA
1668,2109106,PRESIDENTE DUTRA,Presidente Dutra,MA
1669,2109205,PRESIDENTE JUSCELINO,Presidente Juscelino,MA
1670,2109239,PRESIDENTE MEDICI,Presidente Médici,MA
1671,2109270,PRESIDENTE SARNEY,Presidente Sarney,MA
1672,2109304,PRESIDENTE VARGAS,Presidente Vargas,MA
1673,2109403,PRIMEIRA CRUZ,Primeira Cruz,MA
1674,2109452,RAPOSA,Raposa,MA
1675,2109502,RIACHAO,Riachão,MA
1676,2109551,RIBAMAR FIQUENE,Ribamar Fiquene,MA
1677,2109601,ROSARIO,Rosário,MA
1678,2109700,SAMBAIBA,Sambaíba,MA
1679,2109759,SANTA FILOMENA DO MARANHAO,Santa Filomena do Maranhão,MA
1680,2109809,SANTA HELENA,Santa Helena,MA
1681,2109908,SANTA INES,Santa Inês,MA
1682,2110005,SANTA LUZIA,Santa Luzia,MA
1683,2110039,SANTA LUZIA DO PARUA,Santa Luzia do Paruá,MA
1684,2110104,SANTA QUITERIA DO MARANHAO,Santa Quitéria do Maranhão,MA
1685,2110203,SANTA RITA,Santa Rita,MA
1686,2110237,SANTANA DO MARANHAO,Santana do Maranhão,MA
1687,2110278,SANTO AMARO DO MARANHAO,Santo Amaro do Maranhão,MA
1688,2110302,SANTO ANTONIO DOS LOPES,Santo Antônio dos Lopes,MA
1689,2110401,SAO BENEDITO DO RIO PRETO,São Benedito do Rio Preto,MA
1690,2110500,SAO BENTO,São Bento,MA
1691,2110609,SAO BERNARDO,São Bernardo,MA
1692,2110658,SAO DOMINGOS DO AZEITAO,São Domingos do Azeitão,MA
1693,2110708,SAO DOMINGOS DO MARANHAO,São Domingos do Maranhão,MA
1694,2110807,SAO FELIX DE BALSAS,São Félix de Balsas,MA
1695,2110856,SAO FRANCISCO DO BREJAO,São Francisco do Brejão,MA
1696,2110906,SAO FRANCISCO DO MARANHAO,São Francisco do Maranhão,MA
1697,2111003,SAO JOAO BATISTA,São João Batista,MA
1698,2111029,SAO JOAO DO CARU,São João do Carú,MA
1699,2111052,SAO JOAO DO PARAISO,São João do Paraíso,MA
1700,2111078,SAO JOAO DO SOTER,São João do Soter,MA
1701,2111102,SAO JOAO DOS PATOS,São João dos Patos,MA
1702,2111201,SAO JOSE DE RIBAMAR,São José de Ribamar,MA
1703,2111250,SAO JOSE DOS BASILIOS,São José dos Basílios,MA
1704,2111300,SAO LUIS,São Luís,MA
1705,2111409,SAO LUIS GONZAGA DO MARANHAO,São Luís Gonzaga do Maranhão,MA
1706,2111508,SAO MATEUS DO MARANHAO,São Mateus do Maranhão,MA
1707,2111532,SAO PEDRO DA AGUA BRANCA,São Pedro da Água Branca,MA
1708,2111573,SAO PEDRO DOS CRENTES,São Pedro dos Crentes,MA
1709,2111607,SAO RAIMUNDO DAS MANGABEIRAS,São Raimundo das Mangabeiras,MA
1710,2111631,SAO RAIMUNDO DO DOCA BEZERRA,São Raimundo do Doca Bezerra,MA
1711,2111672,SAO ROBERTO,São Roberto,MA
1712,2111706,SAO VICENTE FERRER,São Vicente Ferrer,MA
1713,2111722,SATUBINHA,Satubinha,MA
